customer_id,gender,is_urban,is_married,has_chidren,period,housing_service,get_multi_bonus,web_stability_problem,online_guide_service,is_member,sales_support,pay_after_try,installment_pay,member_type,is_vip,pay_method,avg_month_consumption,total_consumption,is_warning_loss,supplier
5129-JLPIS,Male,0,No,No,25,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month,Yes,PayPal,105.5,2686.05,No,T-Mobile
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mastercard,113.25,7895.15,No,T-Mobile
8191-XWSZG,Female,0,No,No,52,Yes,No,other,other,other,other,other,other,One year,No,Venmo,20.65,1022.95,No,Starlink
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Two year,No,Visa,106.7,7382.25,No,Xfinity
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,No,No,Yes,Yes,No,No,Month,No,Mastercard,55.2,528.35,Yes,HughesNet
4183-MYFRB,Female,0,No,No,21,Yes,No,No,Yes,Yes,No,No,Yes,Month,Yes,PayPal,90.05,1862.9,No,Starlink
8779-QRDMV,Male,1,No,No,1,No,other,No,No,Yes,No,No,Yes,Month,Yes,PayPal,39.65,39.65,Yes,Xfinity
1680-VDCWW,Male,0,Yes,No,12,Yes,No,other,other,other,other,other,other,One year,No,Visa,19.8,202.25,No,Starlink
1066-JKSGK,Male,0,No,No,1,Yes,No,other,other,other,other,other,other,Month,No,Venmo,20.15,20.15,Yes,AT&T
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,No,Yes,No,Yes,No,No,Two year,Yes,Mastercard,59.9,3505.1,No,Xfinity
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,Yes,Yes,No,Yes,No,No,Month,No,Mastercard,59.6,2970.3,No,T-Mobile
6865-JZNKO,Female,0,No,No,30,Yes,No,Yes,Yes,No,No,No,No,Month,Yes,Visa,55.3,1530.6,No,Xfinity
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,No,Yes,No,No,Yes,Yes,Month,Yes,PayPal,99.35,4749.15,Yes,HughesNet
8665-UTDHZ,Male,0,Yes,Yes,1,No,other,No,Yes,No,No,No,No,Month,No,PayPal,30.2,30.2,Yes,AT&T
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mastercard,90.25,6369.45,No,T-Mobile
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,No,No,No,No,Yes,Yes,Month,Yes,Venmo,64.7,1093.1,Yes,HughesNet
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mastercard,96.35,6766.95,No,T-Mobile
4929-XIHVW,Male,1,Yes,No,2,Yes,No,No,No,Yes,No,Yes,Yes,Month,Yes,Mastercard,95.5,181.65,No,Starlink
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,Yes,Yes,Yes,Yes,No,No,One year,No,Venmo,66.15,1874.45,No,HughesNet
7310-EGVHZ,Male,0,No,No,1,Yes,No,other,other,other,other,other,other,Month,No,Visa,20.2,20.2,No,T-Mobile
3413-BMNZE,Male,1,No,No,1,Yes,No,No,No,No,No,No,No,Month,No,Visa,45.25,45.25,No,AT&T
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Two year,No,Visa,99.9,7251.7,No,Xfinity
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Two year,No,Visa,99.9,7251.7,No,AT&T
6047-YHPVI,Male,0,No,No,5,Yes,No,No,No,No,No,No,No,Month,Yes,PayPal,69.7,316.9,Yes,Xfinity
6572-ADKRS,Female,0,No,No,46,Yes,No,No,No,Yes,No,No,No,Month,Yes,Mastercard,74.8,3548.3,No,Starlink
5380-WJKOV,Male,0,No,No,34,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month,Yes,PayPal,106.35,3549.25,Yes,Verizon
8168-UQWWF,Female,0,No,No,11,Yes,Yes,No,No,Yes,No,Yes,Yes,Month,Yes,Visa,97.85,1105.4,Yes,Starlink
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,No,Yes,No,No,No,No,One year,No,Venmo,49.55,475.7,No,T-Mobile
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,Yes,Yes,No,No,Yes,No,Two year,Yes,Mastercard,69.2,4872.35,No,Xfinity
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,other,other,other,other,other,other,One year,No,Venmo,20.75,418.25,No,Xfinity
4671-VJLCL,Female,0,No,No,63,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mastercard,79.85,4861.45,No,T-Mobile
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Month,Yes,Mastercard,76.2,981.45,No,T-Mobile
3714-NTNFO,Female,0,No,No,49,Yes,Yes,No,No,No,No,No,Yes,Month,Yes,PayPal,84.5,3906.7,No,AT&T
5948-UJZLF,Male,0,No,No,2,Yes,No,No,Yes,No,No,No,No,Month,No,Venmo,49.25,97,No,Starlink
7760-OYPDY,Female,0,No,No,2,Yes,No,No,No,No,No,Yes,No,Month,Yes,PayPal,80.65,144.15,Yes,HughesNet
7639-LIAYI,Male,0,No,No,52,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Mastercard,79.75,4217.8,No,Verizon
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,Yes,No,Yes,Yes,No,No,Two year,Yes,Mastercard,64.15,4254.1,No,T-Mobile
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,No,Yes,No,No,Yes,No,Month,Yes,PayPal,90.25,3838.75,No,Starlink
9420-LOJKX,Female,0,No,No,15,Yes,No,Yes,Yes,No,No,Yes,Yes,Month,Yes,Mastercard,99.1,1426.4,Yes,Starlink
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,Yes,No,No,Yes,Yes,No,Month,Yes,Mastercard,69.5,1752.65,No,Xfinity
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,No,Yes,No,No,No,No,Month,Yes,Mastercard,80.65,633.3,Yes,Starlink
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Mastercard,74.85,4456.35,No,Starlink
1658-BYGOY,Male,1,No,No,18,Yes,Yes,No,No,No,No,Yes,Yes,Month,Yes,PayPal,95.45,1752.55,Yes,Starlink
1658-BYGOY,Male,1,No,No,18,Yes,Yes,No,No,No,No,Yes,Yes,Month,Yes,PayPal,95.45,1752.55,Yes,AT&T
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Yes,No,No,No,Yes,Yes,One year,Yes,Mastercard,99.65,6311.2,No,T-Mobile
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,PayPal,108.45,7076.35,No,HughesNet
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,other,other,other,other,other,other,Two year,No,Mastercard,24.95,894.3,No,T-Mobile
5954-BDFSG,Female,0,No,No,72,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Mastercard,107.5,7853.7,No,T-Mobile
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,No,No,Yes,No,Yes,Yes,Month,Yes,PayPal,100.5,4707.1,No,Verizon
1215-FIGMP,Male,0,No,No,60,Yes,Yes,No,Yes,No,No,Yes,No,Month,Yes,Visa,89.9,5450.7,No,HughesNet
0526-SXDJP,Male,0,Yes,No,72,No,other,Yes,Yes,Yes,No,No,No,Two year,No,Visa,42.1,2962,No,Verizon
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,No,No,Yes,Yes,No,No,One year,Yes,Mastercard,54.4,957.1,No,Xfinity
5698-BQJOH,Female,0,No,No,9,Yes,Yes,No,No,No,No,Yes,Yes,Month,No,PayPal,94.4,857.25,Yes,Starlink
5122-CYFXA,Female,0,No,No,3,Yes,No,No,Yes,No,Yes,Yes,Yes,Month,Yes,PayPal,75.3,244.1,No,T-Mobile
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,No,Yes,No,No,No,No,One year,Yes,Mastercard,78.9,3650.35,No,Xfinity
3410-YOQBQ,Female,0,No,No,31,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Venmo,79.2,2497.2,No,AT&T
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,other,other,other,other,other,other,Two year,No,Visa,20.15,930.9,No,HughesNet
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,other,other,other,other,other,other,Two year,No,Visa,20.15,930.9,No,Verizon
7410-OIEDU,Male,0,No,No,10,Yes,No,Yes,No,Yes,No,No,No,Month,Yes,Venmo,79.85,887.35,No,AT&T
2273-QCKXA,Male,0,No,No,1,Yes,No,No,No,No,Yes,No,No,Month,No,Venmo,49.05,49.05,No,Verizon
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,other,other,other,other,other,other,One year,Yes,PayPal,20.4,1090.65,No,AT&T
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Visa,111.6,7099,No,AT&T
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,other,other,other,other,other,other,Two year,Yes,Visa,24.25,1424.6,No,HughesNet
5630-AHZIL,Female,0,No,Yes,3,Yes,No,Yes,No,No,Yes,No,Yes,Month,Yes,Visa,64.5,177.4,No,Starlink
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,No,PayPal,110.5,6139.5,No,Starlink
6416-JNVRK,Female,0,No,No,46,Yes,No,No,No,No,No,No,Yes,One year,No,Mastercard,55.65,2688.85,No,T-Mobile
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,Yes,Yes,No,No,No,No,Month,No,Venmo,54.65,482.25,No,Verizon
0191-ZHSKZ,Male,1,No,No,30,Yes,No,Yes,Yes,No,No,Yes,Yes,Month,Yes,Mastercard,74.75,2111.3,No,Verizon
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,other,other,other,other,other,other,One year,Yes,Mastercard,25.9,1216.6,No,T-Mobile
5919-TMRGD,Female,0,No,Yes,1,Yes,No,No,No,No,No,Yes,No,Month,Yes,PayPal,79.35,79.35,Yes,T-Mobile
8108-UXRQN,Female,0,Yes,Yes,11,No,other,Yes,No,No,No,Yes,Yes,Month,No,PayPal,50.55,565.35,No,Verizon
9191-MYQKX,Female,0,Yes,No,7,Yes,No,No,No,Yes,No,No,No,Month,Yes,Visa,75.15,496.9,Yes,Starlink
9919-YLNNG,Female,0,No,No,42,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month,Yes,Visa,103.8,4327.5,No,T-Mobile
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,other,other,other,other,other,other,Two year,Yes,Visa,20.15,973.35,No,Verizon
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,No,Yes,No,No,Yes,Yes,Month,Yes,Mastercard,99.3,918.75,No,Verizon
4808-YNLEU,Female,0,Yes,No,35,Yes,No,Yes,No,No,No,Yes,No,One year,Yes,Visa,62.15,2215.45,No,Xfinity
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,other,other,other,other,other,other,Two year,No,Visa,20.65,1057,No,T-Mobile
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,other,other,other,other,other,other,Two year,Yes,Venmo,19.95,927.1,No,AT&T
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,other,other,other,other,other,other,Two year,Yes,Venmo,19.95,927.1,No,T-Mobile
3016-KSVCP,Male,0,Yes,No,29,No,other,No,No,No,No,Yes,No,Month,No,Venmo,33.75,1009.25,No,AT&T
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,No,Yes,Yes,No,No,No,Month,No,Visa,82.05,2570.2,No,Xfinity
2424-WVHPL,Male,1,No,No,1,Yes,No,No,No,No,Yes,No,No,Month,No,Mastercard,74.7,74.7,No,Starlink
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Venmo,84.0,5714.25,No,Starlink
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Month,Yes,Mastercard,111.05,7107,No,HughesNet
9848-JQJTX,Male,0,No,No,72,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Visa,100.9,7459.05,No,Xfinity
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Yes,No,No,No,No,No,Month,Yes,PayPal,78.95,927.35,Yes,Starlink
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,Yes,Yes,No,Yes,No,No,One year,Yes,Mastercard,66.85,4748.7,No,AT&T
0278-YXOOG,Male,0,No,No,5,Yes,No,other,other,other,other,other,other,Month,No,Venmo,21.05,113.85,Yes,T-Mobile
3212-KXOCR,Male,0,No,No,52,Yes,No,other,other,other,other,other,other,Two year,No,Visa,21.0,1107.2,No,T-Mobile
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,No,Yes,Yes,No,Yes,Yes,Month,Yes,PayPal,98.5,2514.5,Yes,HughesNet
6380-ARCEH,Male,0,No,No,1,Yes,No,other,other,other,other,other,other,Month,No,Venmo,20.2,20.2,No,HughesNet
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,other,other,other,other,other,other,Month,No,PayPal,19.45,19.45,No,Xfinity
7123-WQUHX,Male,0,No,No,38,Yes,Yes,No,No,Yes,Yes,Yes,No,One year,No,Visa,95.0,3605.6,No,Xfinity
5386-THSLQ,Female,1,Yes,No,66,No,other,No,Yes,Yes,No,Yes,No,One year,No,Visa,45.55,3027.25,No,Starlink
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Visa,110.0,7611.85,Yes,Xfinity
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Visa,110.0,7611.85,Yes,HughesNet
6180-YBIQI,Male,0,No,No,5,No,other,No,No,No,No,No,No,Month,No,Venmo,24.3,100.2,No,Verizon
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,No,No,Yes,Yes,One year,Yes,PayPal,104.15,7303.05,No,Verizon
9750-BOOHV,Female,0,No,No,32,No,other,Yes,No,No,No,No,No,One year,No,Venmo,30.15,927.65,No,Starlink
8597-CWYHH,Male,0,No,No,43,Yes,Yes,No,No,No,No,Yes,Yes,One year,No,Venmo,94.35,3921.3,No,AT&T
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,other,other,other,other,other,other,Two year,No,Mastercard,19.4,1363.25,No,AT&T
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Yes,Yes,No,No,Yes,No,Month,Yes,PayPal,96.75,5238.9,Yes,Verizon
4549-ZDQYY,Female,0,No,No,52,Yes,No,Yes,No,Yes,Yes,No,No,One year,No,Mastercard,57.95,3042.25,No,AT&T
5712-AHQNN,Female,0,No,No,43,Yes,No,No,Yes,Yes,No,Yes,No,Month,Yes,PayPal,91.65,3954.1,No,Xfinity
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,No,No,No,No,No,No,Month,Yes,PayPal,76.5,2868.15,Yes,Verizon
5256-SKJGO,Female,0,Yes,Yes,64,No,other,No,Yes,No,Yes,Yes,Yes,Two year,Yes,PayPal,54.6,3423.5,No,Verizon
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,Yes,Yes,No,No,Yes,No,Month,No,PayPal,89.85,248.4,No,Xfinity
9560-BBZXK,Female,0,No,No,36,No,other,Yes,No,No,No,No,No,Two year,No,Visa,31.05,1126.35,No,T-Mobile
5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,Yes,No,No,No,Yes,Yes,Month,Yes,Mastercard,100.25,1064.65,Yes,Starlink
8402-OOOHJ,Female,0,No,No,41,Yes,No,other,other,other,other,other,other,Two year,No,Venmo,20.65,835.15,No,T-Mobile
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,No,Yes,No,Yes,No,No,Month,Yes,Mastercard,85.2,2151.6,No,HughesNet
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Yes,No,No,Yes,No,Yes,Yes,One year,Yes,Mastercard,99.8,5515.45,No,AT&T
2928-HLDBA,Female,0,No,No,6,Yes,No,other,other,other,other,other,other,Month,No,Venmo,20.7,112.75,No,Verizon
0404-SWRVG,Male,0,No,No,3,Yes,Yes,No,No,No,No,No,No,Month,Yes,PayPal,74.4,229.55,Yes,Starlink
6497-TILVL,Female,0,Yes,Yes,7,Yes,No,Yes,No,No,No,No,No,Month,No,Venmo,50.7,350.35,No,HughesNet
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,other,other,other,other,other,other,Month,No,Venmo,20.85,62.9,No,T-Mobile
4622-YNKIJ,Male,0,No,No,33,Yes,No,Yes,No,No,Yes,Yes,No,Two year,Yes,PayPal,88.95,3027.65,No,Verizon
4412-YLTKF,Female,1,No,No,27,Yes,Yes,No,No,Yes,No,No,No,Month,Yes,PayPal,78.05,2135.5,Yes,T-Mobile
6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,other,other,other,other,other,other,Two year,Yes,Visa,23.55,1723.95,No,Xfinity
3930-ZGWVE,Male,0,No,No,1,Yes,No,other,other,other,other,other,other,Month,No,Venmo,19.75,19.75,No,T-Mobile
2639-UGMAZ,Male,1,No,No,71,No,other,Yes,Yes,No,No,Yes,Yes,One year,Yes,PayPal,56.45,3985.35,No,Verizon
2876-GZYZC,Female,0,No,No,13,Yes,Yes,No,No,No,No,No,Yes,Month,Yes,PayPal,85.95,1215.65,No,T-Mobile
6207-WIOLX,Female,0,Yes,Yes,25,No,other,Yes,Yes,Yes,No,Yes,Yes,Month,Yes,Mastercard,58.6,1502.65,Yes,Starlink
8587-XYZSF,Male,0,No,No,67,Yes,No,No,No,No,Yes,No,No,Two year,No,Visa,50.55,3260.1,No,Xfinity
8587-XYZSF,Male,0,No,No,67,Yes,No,No,No,No,Yes,No,No,Two year,No,Visa,50.55,3260.1,No,HughesNet
3091-FYHKI,Male,0,No,No,1,No,other,No,No,No,No,No,Yes,Month,Yes,PayPal,35.45,35.45,Yes,HughesNet
2372-HWUHI,Male,0,No,No,2,Yes,No,No,No,No,No,No,No,Month,No,PayPal,44.35,81.25,Yes,T-Mobile
7799-LGRDP,Female,0,No,No,43,Yes,Yes,other,other,other,other,other,other,Two year,Yes,Mastercard,25.7,1188.2,No,T-Mobile
7850-VWJUU,Female,0,No,No,23,Yes,No,Yes,No,No,No,No,No,Month,Yes,Visa,75.0,1778.5,No,Xfinity
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,other,other,other,other,other,other,Two year,No,Venmo,20.2,1277.75,No,Xfinity
6217-KDYWC,Male,0,No,Yes,57,Yes,No,other,other,other,other,other,other,Two year,Yes,Venmo,19.6,1170.55,No,HughesNet
0390-DCFDQ,Female,1,Yes,No,1,Yes,No,No,No,No,No,No,No,Month,Yes,Venmo,70.45,70.45,Yes,Xfinity
3146-MSEGF,Female,1,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mastercard,88.05,6425.65,No,Starlink
4080-OGPJL,Female,0,No,No,8,Yes,Yes,Yes,No,No,Yes,No,Yes,Month,No,PayPal,71.15,563.65,Yes,T-Mobile
1095-WGNGG,Female,0,Yes,No,61,Yes,Yes,No,Yes,No,No,Yes,Yes,Two year,Yes,Visa,101.05,5971.25,No,T-Mobile
2636-SJDOU,Male,0,No,No,64,Yes,Yes,Yes,Yes,No,No,No,No,One year,Yes,Mastercard,84.3,5289.05,No,Xfinity
1131-QQZEB,Male,1,Yes,No,71,Yes,Yes,other,other,other,other,other,other,Two year,No,Visa,23.95,1756.2,No,HughesNet
5716-EZXZN,Female,0,Yes,Yes,65,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Mastercard,99.05,6416.7,No,T-Mobile
6837-BJYDQ,Male,0,No,No,3,Yes,No,other,other,other,other,other,other,One year,No,Venmo,19.6,61.35,No,AT&T
6837-BJYDQ,Male,0,No,No,3,Yes,No,other,other,other,other,other,other,One year,No,Venmo,19.6,61.35,No,T-Mobile
2135-RXIHG,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,Month,Yes,PayPal,45.65,45.65,Yes,Xfinity
6440-DKQGE,Male,0,No,Yes,30,Yes,No,No,Yes,Yes,No,Yes,No,One year,No,Mastercard,64.5,1929.95,No,Starlink
3466-BYAVD,Male,0,Yes,Yes,15,Yes,No,No,Yes,Yes,Yes,No,Yes,Month,Yes,Venmo,69.5,1071.4,No,Starlink
3780-YVMFA,Female,0,Yes,Yes,8,Yes,No,No,No,No,Yes,Yes,Yes,Month,Yes,PayPal,68.55,564.35,No,T-Mobile
3874-EQOEP,Male,0,No,No,7,Yes,Yes,No,No,No,No,Yes,Yes,Month,No,Venmo,95.0,655.5,Yes,T-Mobile
1679-JRFBR,Female,0,Yes,Yes,70,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mastercard,108.15,7930.55,No,Xfinity
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,PayPal,86.1,5215.25,No,Xfinity
3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,other,other,other,other,other,other,Month,No,Venmo,19.7,113.5,No,Starlink
6551-GNYDG,Female,0,Yes,Yes,14,Yes,No,No,No,No,No,No,Yes,Month,Yes,Visa,80.9,1152.8,No,T-Mobile
9167-APMXZ,Female,0,No,No,22,Yes,Yes,No,No,No,No,Yes,No,Month,Yes,Visa,84.15,1821.95,No,AT&T
2749-CTKAJ,Male,0,Yes,Yes,22,Yes,No,other,other,other,other,other,other,One year,No,Venmo,20.15,419.9,No,T-Mobile
6371-NZYEG,Male,0,Yes,Yes,16,Yes,No,Yes,No,Yes,No,Yes,No,Two year,No,Venmo,64.25,1024,No,Xfinity
7554-NEWDD,Male,0,No,No,10,Yes,Yes,other,other,other,other,other,other,Two year,No,Visa,25.7,251.6,No,T-Mobile
8992-VONJD,Female,0,No,Yes,13,Yes,No,Yes,Yes,No,No,No,No,Month,Yes,PayPal,56.0,764.55,No,Xfinity
0867-MKZVY,Female,0,Yes,No,20,Yes,Yes,Yes,No,No,No,No,No,Month,No,PayPal,82.4,1592.35,Yes,Verizon
4482-EWFMI,Female,0,No,No,2,Yes,No,No,No,No,No,No,No,Month,Yes,PayPal,69.7,135.2,No,HughesNet
4648-YPBTM,Male,0,No,No,53,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Visa,73.9,3958.25,No,HughesNet
2907-ILJBN,Female,0,Yes,Yes,11,Yes,No,other,other,other,other,other,other,One year,No,Venmo,20.6,233.9,No,Xfinity
6345-FZOQH,Male,0,Yes,No,69,Yes,No,other,other,other,other,other,other,Two year,No,Venmo,19.9,1363.45,No,HughesNet
3376-BMGFE,Female,0,No,No,4,Yes,No,No,No,No,No,No,No,Month,Yes,Visa,70.9,273,Yes,HughesNet
5997-OPVFA,Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Visa,89.05,6254.45,No,Xfinity
5997-OPVFA,Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Visa,89.05,6254.45,No,HughesNet
3445-HXXGF,Male,1,Yes,No,58,No,other,No,Yes,Yes,No,No,Yes,Month,Yes,PayPal,45.3,2651.2,Yes,T-Mobile
1159-WFSGR,Female,0,Yes,Yes,16,Yes,No,other,other,other,other,other,other,Month,No,PayPal,20.4,321.4,No,AT&T
7654-YWJUF,Male,0,Yes,No,43,Yes,No,Yes,No,Yes,Yes,No,No,One year,Yes,Visa,84.25,3539.25,No,T-Mobile
1875-QIVME,Female,0,Yes,No,2,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month,Yes,PayPal,104.4,242.8,Yes,Verizon
6727-IOTLZ,Male,0,Yes,No,14,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Venmo,81.95,1181.75,No,HughesNet
0691-JVSYA,Female,0,Yes,No,53,Yes,No,No,No,Yes,No,Yes,Yes,One year,Yes,Visa,94.85,5000.2,Yes,Verizon
5918-VUKWP,Female,0,No,No,32,Yes,No,other,other,other,other,other,other,One year,No,Visa,20.55,654.55,No,T-Mobile
1744-JHKYS,Female,0,Yes,No,34,Yes,Yes,other,other,other,other,other,other,Month,No,PayPal,24.7,780.2,No,Verizon
2656-FMOKZ,Female,1,No,No,15,Yes,Yes,No,No,No,No,No,No,Month,Yes,Venmo,74.45,1145.7,Yes,Xfinity
2070-FNEXE,Female,1,No,No,7,Yes,No,Yes,No,No,No,No,No,Month,No,Visa,76.45,503.6,Yes,Starlink
5947-SGKCL,Female,0,Yes,Yes,15,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month,Yes,Visa,105.35,1559.25,No,Xfinity
